node,role,degree_c,betweenness,closeness,clustering
He-4,Healer,0.4167,0.3696,0.5714,0.1127
Me-1,Mediator,0.25,0.221,0.5455,0.1396
Yo-2,Youth,0.25,0.2065,0.5,0.1359
Co-4,Council,0.25,0.1739,0.4898,0.0481
El-3,Elder,0.3333,0.1486,0.5333,0.2502
El-5,Elder,0.3333,0.1123,0.5106,0.2761
Me-3,Mediator,0.125,0.1051,0.48,0.0
Yo-5,Youth,0.125,0.1014,0.5,0.065
He-1,Healer,0.2083,0.0978,0.5217,0.2179
Yo-4,Youth,0.1667,0.0652,0.4706,0.1399
El-4,Elder,0.3333,0.0652,0.5217,0.3513
Co-3,Council,0.1667,0.0435,0.4138,0.1728
El-6,Elder,0.25,0.0399,0.5333,0.2338
Co-2,Council,0.125,0.0326,0.4138,0.134
He-5,Healer,0.25,0.0217,0.4898,0.2825
He-2,Healer,0.1667,0.0217,0.4364,0.3701
El-7,Elder,0.25,0.0181,0.48,0.5078
El-2,Elder,0.25,0.0145,0.4706,0.3811
Co-1,Council,0.125,0.0109,0.4138,0.1762
El-1,Elder,0.25,0.0036,0.4364,0.5051
He-3,Healer,0.1667,0.0,0.4444,0.6398
Yo-3,Youth,0.125,0.0,0.4,0.2626
Yo-1,Youth,0.0833,0.0,0.3934,0.0
Yo-6,Youth,0.2083,0.0,0.4364,0.1627
Me-2,Mediator,0.0417,0.0,0.3582,0.0
