node,role,impact
Me-1,Mediator,0.20953
Yo-6,Youth,0.0185
He-4,Healer,0.01493
Yo-2,Youth,0.01381
El-6,Elder,0.01024
El-4,Elder,0.00864
El-3,Elder,0.00285
El-5,Elder,0.00114
El-7,Elder,0.00097
He-1,Healer,0.00085
El-1,Elder,0.00085
El-2,Elder,0.00079
He-5,Healer,0.00044
Co-2,Council,5e-05
Co-4,Council,1e-05
Co-3,Council,-0.00022
He-3,Healer,-0.00024
He-2,Healer,-0.00029
Yo-4,Youth,-0.00029
Yo-5,Youth,-0.00035
Yo-3,Youth,-0.00041
Me-3,Mediator,-0.00043
Co-1,Council,-0.0005
Yo-1,Youth,-0.00065
Me-2,Mediator,-0.09256
